search URL:,https://patents.google.com/?q=force&q=feedback&q=UI&oq=force+feedback+UI+,,,,,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,,,
US-6020876-A,Force feedback interface with selective disturbance filter ,Immersion Corporation,"Louis B. Rosenberg, Dean C. Chang",1997-04-14,1997-04-14,2000-02-01,2000-02-01,https://patents.google.com/patent/US6020876A/en,https://patentimages.storage.googleapis.com/pages/US6020876-10.png,,,
US-5825308-A,Force feedback interface having isotonic and isometric functionality ,Immersion Human Interface Corporation,Louis B. Rosenberg,1996-11-26,1996-11-26,1998-10-20,1998-10-20,https://patents.google.com/patent/US5825308A/en,https://patentimages.storage.googleapis.com/pages/US5825308-10.png,,,
US-6061004-A,Providing force feedback using an interface device including an indexing function ,Immersion Corporation,Louis B. Rosenberg,1995-11-26,1998-05-29,2000-05-09,2000-05-09,https://patents.google.com/patent/US6061004A/en,https://patentimages.storage.googleapis.com/pages/US6061004-10.png,,,
US-8020095-B2,Force feedback system including multi-tasking graphical host environment ,Immersion Corporation,"Adam C. Braun, Jonathan L. Beamer, Dean C. Chang",1997-11-14,2007-06-28,2011-09-13,2011-09-13,https://patents.google.com/patent/US8020095B2/en,https://patentimages.storage.googleapis.com/8a/8c/06/83eb80d41b3962/US08020095-20110913-D00002.png,,,
US-6169540-B1,Method and apparatus for designing force sensations in force feedback applications ,Immersion Corporation,"Louis B. Rosenberg, Dean C. Chang",1995-12-01,1997-06-17,2001-01-02,2001-01-02,https://patents.google.com/patent/US6169540B1/en,https://patentimages.storage.googleapis.com/US6169540B1/US06169540-20010102-D00000.png,,,
US-6147674-A,Method and apparatus for designing force sensations in force feedback computer applications ,Immersion Corporation,"Louis B. Rosenberg, Dean C. Chang",1995-12-01,1997-04-25,2000-11-14,2000-11-14,https://patents.google.com/patent/US6147674A/en,https://patentimages.storage.googleapis.com/pages/US6147674-10.png,,,
US-6100874-A,Force feedback mouse interface ,Immersion Corporation,"Bruce M. Schena, Louis B. Rosenberg",1995-11-17,1997-06-24,2000-08-08,2000-08-08,https://patents.google.com/patent/US6100874A/en,https://patentimages.storage.googleapis.com/pages/US6100874-10.png,,,
US-6166723-A,Mouse interface device providing force feedback ,Immersion Corporation,"Bruce M. Schena, Louis B. Rosenberg",1995-11-17,1997-11-07,2000-12-26,2000-12-26,https://patents.google.com/patent/US6166723A/en,https://patentimages.storage.googleapis.com/pages/US6166723-10.png,,,
US-6342880-B2,Force feedback system including multiple force processors ,Immersion Corporation,"Louis B. Rosenberg, Christopher J. Hasser, Bruce M. Schena, Mike D. Levin",1995-09-27,1999-10-06,2002-01-29,2002-01-29,https://patents.google.com/patent/US6342880B2/en,https://patentimages.storage.googleapis.com/US6342880B2/US06342880-20020129-D00000.png,,,
US-5629594-A,Force feedback system ,Cybernet Systems Corporation,"Charles J. Jacobus, Alan J. Riggs, Mark J. Taylor",1992-12-02,1995-10-16,1997-05-13,1997-05-13,https://patents.google.com/patent/US5629594A/en,https://patentimages.storage.googleapis.com/pages/US5629594-10.png,,,
US-6646632-B2,Tactile force feedback device ,Logitech Europe S.A.,"David Wegmuller, Paul Loughnane, David McVicar",2000-12-01,2000-12-01,2003-11-11,2003-11-11,https://patents.google.com/patent/US6646632B2/en,https://patentimages.storage.googleapis.com/US6646632B2/US06646632-20031111-D00000.png,,,
US-7027032-B2,Designing force sensations for force feedback computer applications ,Immersion Corporation,"Louis B. Rosenberg, Dean C. Chang",1995-12-01,2004-02-23,2006-04-11,2006-04-11,https://patents.google.com/patent/US7027032B2/en,https://patentimages.storage.googleapis.com/US7027032B2/US07027032-20060411-D00000.png,,,
US-7013717-B1,Manual control with force-feedback for probe microscopy-based force spectroscopy ,Veeco Instruments Inc.,"Jens Struckmeier, Doug Gotthard, Ben Ohler",2001-12-06,2001-12-06,2006-03-21,2006-03-21,https://patents.google.com/patent/US7013717B1/en,https://patentimages.storage.googleapis.com/US7013717B1/US07013717-20060321-D00000.png,,,
US-2015199011-A1,Attractive and repulsive force feedback ,Microsoft Corporation,"Masaaki Fukumoto, Taku Hachisu",2014-01-14,2014-01-14,2015-07-16,,https://patents.google.com/patent/US20150199011A1/en,https://patentimages.storage.googleapis.com/8e/c9/96/e91d0132402e83/US20150199011A1-20150716-D00000.png,,,
US-6252579-B1,Interface device and method for providing enhanced cursor control with force feedback ,Immersion Corporation,"Louis B. Rosenberg, Jonathan L. Beamer, Adam C. Braun, Dean C. Chang",1997-08-23,1997-08-23,2001-06-26,2001-06-26,https://patents.google.com/patent/US6252579B1/en,https://patentimages.storage.googleapis.com/US6252579B1/US06252579-20010626-D00000.png,,,
US-6292174-B1,Enhanced cursor control using limited-workspace force feedback devices ,Immersion Corporation,"Jeffrey R. Mallett, Dean C. Chang, Louis B. Rosenberg, Adam C. Braun, Kenneth M. Martin, Jonathan L. Beamer",1997-08-23,2000-05-04,2001-09-18,2001-09-18,https://patents.google.com/patent/US6292174B1/en,https://patentimages.storage.googleapis.com/US6292174B1/US06292174-20010918-D00000.png,,,
US-6801008-B1,Force feedback system and actuator power management ,Immersion Corporation,"Charles J. Jacobus, Alan J. Riggs, Mark J Taylor",1992-12-02,2000-08-14,2004-10-05,2004-10-05,https://patents.google.com/patent/US6801008B1/en,https://patentimages.storage.googleapis.com/US6801008B1/US06801008-20041005-D00000.png,,,
US-6128006-A,Force feedback mouse wheel and other control wheels ,Immersion Corporation,"Louis B. Rosenberg, Bruce M. Schena",1998-03-26,1998-03-26,2000-10-03,2000-10-03,https://patents.google.com/patent/US6128006A/en,https://patentimages.storage.googleapis.com/pages/US6128006-3.png,,,
US-2009280860-A1,Mobile phone with directional force feedback and method ,Sony Ericsson Mobile Communications Ab,Mikael Dahlke,2008-05-12,2008-05-12,2009-11-12,,https://patents.google.com/patent/US20090280860A1/en,https://patentimages.storage.googleapis.com/US20090280860A1/US20090280860A1-20091112-D00000.png,,,
US-5990869-A,Force feedback mouse ,Alliance Technologies Corp.,"Eric Gregory Kubica, Kevin Lloyd Tuer, Daniel Richard Madill, Kevin Brian Krauel",1996-08-20,1997-02-19,1999-11-23,1999-11-23,https://patents.google.com/patent/US5990869A/en,https://patentimages.storage.googleapis.com/pages/US5990869-2.png,,,
US-2009309825-A1,"User interface, method, and computer program for controlling apparatus, and apparatus ",Sony Ericsson Mobile Communications Ab,"Peter SODERGREN, Mats Larsson",2008-06-13,2008-06-13,2009-12-17,,https://patents.google.com/patent/US20090309825A1/en,https://patentimages.storage.googleapis.com/US20090309825A1/US20090309825A1-20091217-D00000.png,,,
US-7701438-B2,Design of force sensations for haptic feedback computer interfaces ,Immersion Corporation,"Dean C. Chang, Louis B. Rosenberg, Jeffrey R. Mallett",1997-04-25,2006-06-20,2010-04-20,2010-04-20,https://patents.google.com/patent/US7701438B2/en,https://patentimages.storage.googleapis.com/US7701438B2/US07701438-20100420-D00000.png,,,
US-6697044-B2,Haptic feedback device with button forces ,Immersion Corporation,"Erik J. Shahoian, Christopher J. Hasser, Louis B. Rosenberg",1998-09-17,2000-12-19,2004-02-24,2004-02-24,https://patents.google.com/patent/US6697044B2/en,https://patentimages.storage.googleapis.com/US6697044B2/US06697044-20040224-D00000.png,,,
US-6956558-B1,Rotary force feedback wheels for remote control devices ,Immersion Corporation,"Louis B. Rosenberg, Bruce M. Schena",1998-03-26,2000-10-02,2005-10-18,2005-10-18,https://patents.google.com/patent/US6956558B1/en,https://patentimages.storage.googleapis.com/US6956558B1/US06956558-20051018-D00000.png,,,
US-7061466-B1,"Force feedback device including single-phase, fixed-coil actuators ",Immersion Corporation,"David F. Moore, Bruce M. Schena, Erik J. Shahoian",1999-05-07,2000-05-04,2006-06-13,2006-06-13,https://patents.google.com/patent/US7061466B1/en,https://patentimages.storage.googleapis.com/US7061466B1/US07061466-20060613-D00000.png,,,
US-2014232646-A1,"Dielectric elastomer membrane feedback apparatus, system and method ",Bayer Intellectual Property Gmbh,"Silmon James BIGGS, Roger N. Hitchcock, Ilya Polyakov, Alireza Zarrabi",2011-10-21,2012-10-19,2014-08-21,,https://patents.google.com/patent/US20140232646A1/en,https://patentimages.storage.googleapis.com/85/c5/4f/5e7dd61087af89/US20140232646A1-20140821-D00000.png,,,
US-6050718-A,Method and apparatus for providing high bandwidth force feedback with improved actuator feel ,Immersion Corporation,"Bruce M. Schena, Louis B. Rosenberg",1996-03-28,1997-01-27,2000-04-18,2000-04-18,https://patents.google.com/patent/US6050718A/en,https://patentimages.storage.googleapis.com/pages/US6050718-10.png,,,
US-5929607-A,Low cost force feedback interface with efficient power sourcing ,Immersion Corporation,"Louis B. Rosenberg, Adam C. Braun, Bruce M. Schena",1995-09-27,1997-04-02,1999-07-27,1999-07-27,https://patents.google.com/patent/US5929607A/en,https://patentimages.storage.googleapis.com/pages/US5929607-10.png,,,
US-2002021283-A1,Interactions between simulated objects using with force feedback ,Immersion Corporation,"Louis Rosenberg, Scott Brave",1995-12-01,2001-08-22,2002-02-21,,https://patents.google.com/patent/US20020021283A1/en,https://patentimages.storage.googleapis.com/US20020021283A1/US20020021283A1-20020221-D00000.png,,,
US-7236157-B2,Method for providing high bandwidth force feedback with improved actuator feel ,Immersion Corporation,"Bruce M. Schena, Louis B. Rosenberg",1995-06-05,2002-12-19,2007-06-26,2007-06-26,https://patents.google.com/patent/US7236157B2/en,https://patentimages.storage.googleapis.com/US7236157B2/US07236157-20070626-D00000.png,,,
JP-2008033739-A,Touch screen interaction method and apparatus based on tactile force feedback and pressure measurement ,"Sony Corp, ?Ω„Éã?ºÊ†™Âºè‰ºöÁ§?,Poupyrev Iwan", Shigeaki Maruyama," ?ó„Éî?¨„Éï ?§„ÉØ?? ?çÊòé ‰∏∏Â±±""",2006-07-31,2006-07-31,2008-02-14,,https://patents.google.com/patent/JP2008033739A/en,https://patentimages.storage.googleapis.com/JP2008033739A/2008033739.png,,
WO-9939273-A1,Implementing force feedback over the world wide web and other computer networks ,Immersion Corporation,"Evan Wies, Louis B. Rosenberg, Dean Chang, Sian Tan, Jeffrey Mallett",1998-02-03,1999-02-02,1999-08-05,,https://patents.google.com/patent/WO1999039273A1/en,,,,
WO-2011077687-A1,Force-feedback device and control method for a force-feedback device ,"‰∫¨„Çª?©Ê†™Âºè‰ºöÁ§?""Â±±Êú¨?Ä?åÂÆè"," Êµ©ÂæÅ ?æÊú¨""",2009-12-21,2010-12-17,2011-06-30,,https://patents.google.com/patent/WO2011077687A1/en,https://patentimages.storage.googleapis.com/WO2011077687A1/JPOXMLDOC01-appb-D000001.png,,,
US-2008142642-A1,Cogless motor driven active user interface haptic feedback system ,"Honeywell International, Inc.","Mark G. Marino, John K. Tillotson, Danial L. Kosht",2006-10-26,2007-07-10,2008-06-19,,https://patents.google.com/patent/US20080142642A1/en,https://patentimages.storage.googleapis.com/US20080142642A1/US20080142642A1-20080619-D00000.png,,,
US-8633916-B2,Touch pad with force sensors and actuator feedback ,"Apple, Inc.","Jeffrey Traer Bernstein, Avi Cieplinski, Brett W. Degner, Duncan Kerr, Patrick KESSLER, Paul Puskarich, Marcelo H. Coelho, Aleksandar Pance",2009-12-10,2009-12-10,2014-01-21,2014-01-21,https://patents.google.com/patent/US8633916B2/en,https://patentimages.storage.googleapis.com/ec/7a/80/df800ea0637c64/US08633916-20140121-D00000.png,,,
JP-2008537615-A,Multi-function handheld device ,?¢„ÉÉ?ó„É´  ?§„É≥?≥„Éº?ù„É¨?§„ÉÜ?É„Éâ,?õ„ÉÜ?™„É≥?∞Ôºå?π„ÉÜ?£„Éº?ñÔºå?î„ÉºÔº?2005-03-04,2006-03-03,2008-09-18,,https://patents.google.com/patent/JP2008537615A/en,https://patentimages.storage.googleapis.com/JP2008537615A/2008537615.png,,,,
US-9349552-B2,Touchpad with capacitive force sensing ,Synaptics Incorporated,"Andrew P. Huska, Douglas M. Krumpelman, Cody G. Peterson",2010-05-24,2012-09-06,2016-05-24,2016-05-24,https://patents.google.com/patent/US9349552B2/en,https://patentimages.storage.googleapis.com/82/1f/fb/78a33a2cbf50ff/US09349552-20160524-D00000.png,,,
CN-101203821-A,Multi-functional hand-held device ,?πÊûú?¨Âè∏,?≤ËíÇÂ§´¬∑P¬∑?çÁâπ??2005-03-04,2006-03-03,2008-06-18,,https://patents.google.com/patent/CN101203821A/en,,,,,
US-2003128192-A1,User interface for electronic devices for controlling the displaying of long sorted lists ,Koninklijke Philips Electronics N.V.,Marcel van Os,2002-01-08,2002-04-22,2003-07-10,,https://patents.google.com/patent/US20030128192A1/en,https://patentimages.storage.googleapis.com/US20030128192A1/US20030128192A1-20030710-D00000.png,,,
US-2013172906-A1,Intuitive user interface control for remote catheter navigation and 3D mapping and visualization systems ,"Eric S. Olson, John A. Hauck, Nicholas A. Patronik, Cem M. Shaquer","Eric S. Olson, John A. Hauck, Nicholas A. Patronik, Cem M. Shaquer",2010-03-31,2011-03-31,2013-07-04,,https://patents.google.com/patent/US20130172906A1/en,https://patentimages.storage.googleapis.com/fe/fe/c1/6f20772f1fe3a3/US20130172906A1-20130704-D00000.png,,,
US-2015067495-A1,"Device, Method, and Graphical User Interface for Providing Feedback for Changing Activation States of a User Interface Object ",Apple Inc.,"Jeffrey Traer Bernstein, Avi E. Cieplinski, May-Li Khoe, Nicholas Zambetti",2012-05-09,2014-11-07,2015-03-05,,https://patents.google.com/patent/US20150067495A1/en,https://patentimages.storage.googleapis.com/89/15/52/a9d82897354bb3/US20150067495A1-20150305-D00000.png,,,
US-2011267294-A1,Apparatus and method for providing tactile feedback for user ,Nokia Corporation,Johan Kildal,2010-04-29,2011-04-20,2011-11-03,,https://patents.google.com/patent/US20110267294A1/en,https://patentimages.storage.googleapis.com/2e/09/79/c6ae85dfee5cf5/US20110267294A1-20111103-D00000.png,,,
US-2015067497-A1,"Device, Method, and Graphical User Interface for Providing Tactile Feedback for Operations Performed in a User Interface ",Apple Inc.,"Avi E. Cieplinski, May-Li Khoe, Bianca C. COSTANZO",2012-05-09,2014-11-09,2015-03-05,,https://patents.google.com/patent/US20150067497A1/en,https://patentimages.storage.googleapis.com/3b/f6/92/70ef5b494548e2/US20150067497A1-20150305-D00000.png,,,
US-2016259528-A1,"Devices, Methods, and Graphical User Interfaces for Manipulating User Interface Objects with Visual and/or Haptic Feedback ",Apple Inc.,"Christopher P. FOSS, Freddy A. Anzures, Sebastian J. Bauer, Imran A. Chaudhri, Jonathan R. DASCOLA, Olivier D.R. Gutknecht, Peter L. Hajas, Michael T. Jurewitz, Chanaka G. Karunamuni, Stephen O. Lemay, Wan Si Wan, Giancarlo Yerkes",2015-03-08,2015-09-30,2016-09-08,,https://patents.google.com/patent/US20160259528A1/en,https://patentimages.storage.googleapis.com/46/07/9c/8f97f91407ec8b/US20160259528A1-20160908-D00000.png,,,
US-7880717-B2,"Method, apparatus, and article for force feedback based on tension control and tracking through cables ","Mimic Technologies, Inc.","Jeffrey J. Berkley, Seahak Kim, Sungkwan Hong",2003-03-26,2004-03-26,2011-02-01,2011-02-01,https://patents.google.com/patent/US7880717B2/en,https://patentimages.storage.googleapis.com/US7880717B2/US07880717-20110201-D00000.png,,,
US-2011267181-A1,Apparatus and method for providing tactile feedback for user ,Nokia Corporation,Johan Kildal,2010-04-29,2010-04-29,2011-11-03,,https://patents.google.com/patent/US20110267181A1/en,https://patentimages.storage.googleapis.com/01/e4/84/8247a0844fd7e4/US20110267181A1-20111103-D00000.png,,,
WO-9949443-A2,Force feedback control wheels and knobs ,Immersion Corporation,"Louis B. Rosenberg, Bruce M. Schena",1998-03-26,1999-03-24,1999-09-30,,https://patents.google.com/patent/WO1999049443A2/en,,,,
US-RE39906-E,Gyro-stabilized platforms for force-feedback applications ,Immersion Corporation,"Gerald P. Roston, Charles J. Jacobus",1995-10-26,2001-06-21,2007-11-06,2007-11-06,https://patents.google.com/patent/USRE39906E1/en,https://patentimages.storage.googleapis.com/USRE39906E1/USRE039906-20071106-D00000.png,,,
US-2004164960-A1,Force feedback system and actuator power management ,"Jacobus Charles J., Riggs Alan J., Taylor Mark J.","Charles Jacobus, Alan Riggs, Mark Taylor",1992-12-02,2004-02-27,2004-08-26,,https://patents.google.com/patent/US20040164960A1/en,https://patentimages.storage.googleapis.com/US20040164960A1/US20040164960A1-20040826-D00000.png,,,
US-2006199167-A1,User interface design and evaluation system and hand interaction based user interface design and evaluation system ,"Yang Ung Y, Kim Yong W, Son Wook H, Kim Hyun B","Ung Yang, Yong Kim, Wook Son, Hyun Kim",2004-12-21,2005-12-05,2006-09-07,,https://patents.google.com/patent/US20060199167A1/en,https://patentimages.storage.googleapis.com/US20060199167A1/US20060199167A1-20060907-D00000.png,,,
US-6104382-A,Force feedback transmission mechanisms ,Immersion Corporation,"Kenneth M. Martin, Michael D. Levin, Adam C. Braun",1997-10-31,1998-04-10,2000-08-15,2000-08-15,https://patents.google.com/patent/US6104382A/en,https://patentimages.storage.googleapis.com/pages/US6104382-10.png,,,
US-6067077-A,Position sensing for force feedback devices ,Immersion Corporation,"Kenneth M. Martin, Adam C. Braun, Ryan D. Bruneau",1998-04-10,1998-08-21,2000-05-23,2000-05-23,https://patents.google.com/patent/US6067077A/en,https://patentimages.storage.googleapis.com/pages/US6067077-10.png,,,
US-RE42064-E,Force feedback computer input and output device with coordinated haptic elements ,Apple Inc.,Daniel E. Fish,1999-07-21,2006-11-15,2011-01-25,2011-01-25,https://patents.google.com/patent/USRE42064E1/en,https://patentimages.storage.googleapis.com/USRE42064E1/USRE042064-20110125-D00000.png,,,
WO-9966997-A1,Low cost force feedback devices ,Immersion Corporation,Louis B. Rosenberg,1998-06-23,1999-06-22,1999-12-29,,https://patents.google.com/patent/WO1999066997A1/en,,,,
US-2001045935-A1,Command of force sensations in a force feedback system using force effect suites ,"Dean C. Chang, Jeffery R. Mallett","Dean C. Chang, Jeffery R. Mallett",1999-05-05,1999-05-05,2001-11-29,,https://patents.google.com/patent/US20010045935A1/en,https://patentimages.storage.googleapis.com/US20010045935A1/US20010045935A1-20011129-D00001.png,,,
US-2007182708-A1,Tactile and force feedback device ,Sony Corporation,"Ivan Poupyrev, Shigeaki Maruyama, Tyler Daniel",2003-08-06,2004-07-12,2007-08-09,,https://patents.google.com/patent/US20070182708A1/en,https://patentimages.storage.googleapis.com/US20070182708A1/US20070182708A1-20070809-D00000.png,,,
US-6400352-B1,Mechanical and force transmission for force feedback devices ,Immersion Corporation,"Ryan D. Bruneau, Kenneth M. Martin, Louis B. Rosenberg, David F. Moore, Bruce M. Schena",1995-01-18,1998-08-21,2002-06-04,2002-06-04,https://patents.google.com/patent/US6400352B1/en,https://patentimages.storage.googleapis.com/US6400352B1/US06400352-20020604-D00000.png,,,
US-2009122006-A1,Enhanced protocol and architecture for low bandwidth force feedback game controller ,Microsoft Corporation,"Kurt Torben Nielsen, Loren Douglas Reas",2007-11-13,2007-11-13,2009-05-14,,https://patents.google.com/patent/US20090122006A1/en,https://patentimages.storage.googleapis.com/US20090122006A1/US20090122006A1-20090514-D00000.png,,,
US-6252583-B1,Memory and force output management for a force feedback system ,Immersion Corporation,"Adam C. Braun, Jonathan L. Beamer, Dean C. Chang",1997-11-14,1999-05-05,2001-06-26,2001-06-26,https://patents.google.com/patent/US6252583B1/en,https://patentimages.storage.googleapis.com/US6252583B1/US06252583-20010626-D00000.png,,,
US-2012185099-A1,Telematic interface with control signal scaling based on force sensor feedback ,Harris Corporation,"Paul M. Bosscher, Matthew D. Summer",2011-01-19,2011-01-19,2012-07-19,,https://patents.google.com/patent/US20120185099A1/en,https://patentimages.storage.googleapis.com/f7/73/ea/2f651890db1d9a/US20120185099A1-20120719-D00000.png,,,
US-2014137010-A1,Animation Sequence Associated with Feedback User-Interface Element ,"Michael Matas, William Joseph Flynn, III, Brandon Marshall Walkin","Michael Matas, William Joseph Flynn, III, Brandon Marshall Walkin",2012-11-14,2012-11-14,2014-05-15,,https://patents.google.com/patent/US20140137010A1/en,https://patentimages.storage.googleapis.com/3c/69/cd/93c4e0f670c2ab/US20140137010A1-20140515-D00000.png,,,
US-2006267932-A1,Force feedback device including coupling device ,Immersion Corporation,"Louis Rosenberg, Bernard Jackson",1994-07-12,2006-08-04,2006-11-30,,https://patents.google.com/patent/US20060267932A1/en,https://patentimages.storage.googleapis.com/US20060267932A1/US20060267932A1-20061130-D00000.png,,,
US-6256011-B1,Multi-function control device with force feedback ,Immersion Corporation,Craig F. Culver,1997-12-03,1998-12-01,2001-07-03,2001-07-03,https://patents.google.com/patent/US6256011B1/en,https://patentimages.storage.googleapis.com/US6256011B1/US06256011-20010703-D00000.png,,,
US-5828813-A,Six axis force feedback input device ,California Institute Of Technology,Timothy Ohm,1995-09-07,1996-10-23,1998-10-27,1998-10-27,https://patents.google.com/patent/US5828813A/en,https://patentimages.storage.googleapis.com/pages/US5828813-1.png,,,
US-5973689-A,Cursor control with user feedback mechanism ,U.S. Philips Corporation,Richard D. Gallery,1996-10-30,1997-10-29,1999-10-26,1999-10-26,https://patents.google.com/patent/US5973689A/en,https://patentimages.storage.googleapis.com/pages/US5973689-1.png,,,
US-6243078-B1,Pointing device with forced feedback button ,Immersion Corporation,Louis B. Rosenberg,1998-06-23,1999-02-18,2001-06-05,2001-06-05,https://patents.google.com/patent/US6243078B1/en,https://patentimages.storage.googleapis.com/US6243078B1/US06243078-20010605-D00000.png,,,
US-7159008-B1,Chat interface with haptic feedback functionality ,Immersion Corporation,"Evan F. Wies, Dean C. Chang, Michael P. Ruf",2000-06-30,2000-06-30,2007-01-02,2007-01-02,https://patents.google.com/patent/US7159008B1/en,https://patentimages.storage.googleapis.com/US7159008B1/US07159008-20070102-D00000.png,,,
US-2006119578-A1,System for interfacing between an operator and a virtual object for computer aided design applications ,"Thenkurussi Kesavadas, Kamerkar Ameya V, Ajay Anand","Thenkurussi Kesavadas, Ameya Kamerkar, Ajay Anand",2004-11-11,2005-11-10,2006-06-08,,https://patents.google.com/patent/US20060119578A1/en,https://patentimages.storage.googleapis.com/US20060119578A1/US20060119578A1-20060608-D00000.png,,,
WO-2013061605-A1,Force-feedback device ,‰∫¨„Çª?©Ê†™Âºè‰ºöÁ§?Ê≠£Ëá£ ‰ΩêÁ´π,2011-10-27,2012-10-26,2013-05-02,,https://patents.google.com/patent/WO2013061605A1/en,https://patentimages.storage.googleapis.com/5e/4e/4e/1ab26f1aead588/JPOXMLDOC01-appb-D000001.png,,,,
US-6268857-B1,Computer user interface using a physical manipulatory grammar ,Xerox Corporation,"Kenneth P. Fishkin, Beverly L. Harrison, Roy Want",1997-08-29,1997-08-29,2001-07-31,2001-07-31,https://patents.google.com/patent/US6268857B1/en,https://patentimages.storage.googleapis.com/US6268857B1/US06268857-20010731-D00000.png,,,
